game_number;game_row;game_col;game_name;game_family;r1_c1_p1;r1_c1_p2;r1_c2_p1;r1_c2_p2;r2_c1_p1;r2_c1_p2;r2_c2_p1;r2_c2_p2
1;1;1;Hegemony;Unfair;3;4;2;3;4;2;1;1
2;1;2;Samaritan Dilemma;Biased;3;4;2;2;4;3;1;1
3;1;3;Quasi Altruist;Biased;3;4;2;1;4;3;1;2
4;1;4;Biased Cycle;Cyclic;3;4;2;1;4;2;1;3
5;1;5;Inferior Cycle;Cyclic;3;4;2;2;4;1;1;3
6;1;6;Endless;Cyclic;3;4;2;3;4;1;1;2
7;1;7;Called Bluff;Unfair;3;3;2;4;4;1;1;2
8;1;8;Bully;Unfair;3;2;2;4;4;1;1;3
9;1;9;Unfair Type;Unfair;3;1;2;4;4;2;1;3
10;1;10;Skewed Battle;Biased;3;1;2;4;4;3;1;2
11;1;11;Asym Battle;Biased;3;2;2;4;4;3;1;1
12;1;12;Chicken;Unfair;3;3;2;4;4;2;1;1
13;2;1;Samson;Unfair;2;4;3;3;4;2;1;1
14;2;2;Generous;Biased;2;4;3;2;4;3;1;1
15;2;3;Generous;Biased;2;4;3;1;4;3;1;2
16;2;4;Quasi Cycle;Cyclic;2;4;3;1;4;2;1;3
17;2;5;Tragic Cycle;Cyclic;3;4;3;2;4;1;1;3
18;2;6;Inspector;Cyclic;3;4;3;3;4;1;1;2
19;2;7;Patron;Biased;3;3;3;4;4;1;1;2
20;2;8;Protector;Biased;3;2;3;4;4;1;1;3
21;2;9;Protector;Biased;3;1;3;4;4;2;1;3
22;2;10;Quasi Battle;Biased;3;1;3;4;4;3;1;2
23;2;11;Battle;Biased;3;2;3;4;4;3;1;1
24;2;12;Asym Battle;Biased;3;3;3;4;4;2;1;1
25;3;1;Delilah;Unfair;1;4;3;3;4;2;2;1
26;3;2;Generous;Biased;1;4;3;2;4;3;2;1
27;3;3;Generous;Biased;1;4;3;1;4;3;2;2
28;3;4;Pursuit Cycle;Cyclic;1;4;3;1;4;2;2;3
29;3;5;Fixed Sum;Cyclic;1;4;3;2;4;1;2;3
30;3;6;Missile Crisis;Cyclic;1;4;3;3;4;1;2;2
31;3;7;Patron;Biased;1;3;3;4;4;1;2;2
32;3;8;Protector;Biased;1;2;3;4;4;1;2;3
33;3;9;Protector;Biased;1;1;3;4;4;2;2;3
34;3;10;Hero;Biased;1;1;3;4;4;3;2;2
