game_number,game_name,round,player1,player2,answer1,answer2,points1,points2,total1,total2,choice_option1,choice_option2,option_order
15,Generous,1,act_claude2,act_claude2,Q,Q,2,4,2,4,Q,E,"[1, 0]"
15,Generous,2,act_claude2,act_claude2,E,E,1,2,3,6,Q,E,"[1, 0]"
15,Generous,3,act_claude2,act_claude2,E,Q,4,3,7,9,Q,E,"[1, 0]"
15,Generous,4,act_claude2,act_claude2,E,E,1,2,8,11,Q,E,"[0, 1]"
15,Generous,5,act_claude2,act_claude2,E,E,1,2,9,13,Q,E,"[0, 1]"
15,Generous,6,act_claude2,act_claude2,E,E,1,2,10,15,Q,E,"[1, 0]"
15,Generous,7,act_claude2,act_claude2,E,E,1,2,11,17,Q,E,"[1, 0]"
15,Generous,8,act_claude2,act_claude2,E,E,1,2,12,19,Q,E,"[1, 0]"
15,Generous,9,act_claude2,act_claude2,E,E,1,2,13,21,Q,E,"[1, 0]"
15,Generous,10,act_claude2,act_claude2,E,E,1,2,14,23,Q,E,"[0, 1]"
15,Generous,1,act_claude2,act_gpt4,E,Q,4,3,4,3,Q,E,"[0, 1]"
15,Generous,2,act_claude2,act_gpt4,E,E,1,2,5,5,Q,E,"[0, 1]"
15,Generous,3,act_claude2,act_gpt4,Q,Q,2,4,7,9,Q,E,"[1, 0]"
15,Generous,4,act_claude2,act_gpt4,E,E,1,2,8,11,Q,E,"[0, 1]"
15,Generous,5,act_claude2,act_gpt4,E,Q,4,3,12,14,Q,E,"[0, 1]"
15,Generous,6,act_claude2,act_gpt4,E,Q,4,3,16,17,Q,E,"[1, 0]"
15,Generous,7,act_claude2,act_gpt4,E,E,1,2,17,19,Q,E,"[0, 1]"
15,Generous,8,act_claude2,act_gpt4,E,E,1,2,18,21,Q,E,"[0, 1]"
15,Generous,9,act_claude2,act_gpt4,E,Q,4,3,22,24,Q,E,"[1, 0]"
15,Generous,10,act_claude2,act_gpt4,E,E,1,2,23,26,Q,E,"[0, 1]"
15,Generous,1,act_claude2,act_claude1,Q,Q,2,4,2,4,Q,E,"[1, 0]"
15,Generous,2,act_claude2,act_claude1,E,E,1,2,3,6,Q,E,"[0, 1]"
15,Generous,3,act_claude2,act_claude1,E,E,1,2,4,8,Q,E,"[0, 1]"
15,Generous,4,act_claude2,act_claude1,E,Q,4,3,8,11,Q,E,"[0, 1]"
15,Generous,5,act_claude2,act_claude1,E,Q,4,3,12,14,Q,E,"[0, 1]"
15,Generous,6,act_claude2,act_claude1,E,E,1,2,13,16,Q,E,"[0, 1]"
15,Generous,7,act_claude2,act_claude1,E,Q,4,3,17,19,Q,E,"[1, 0]"
15,Generous,8,act_claude2,act_claude1,E,E,1,2,18,21,Q,E,"[0, 1]"
15,Generous,9,act_claude2,act_claude1,E,E,1,2,19,23,Q,E,"[1, 0]"
15,Generous,10,act_claude2,act_claude1,E,E,1,2,20,25,Q,E,"[0, 1]"
15,Generous,1,act_claude2,act_gpt35,Q,Q,2,4,2,4,Q,E,"[1, 0]"
15,Generous,2,act_claude2,act_gpt35,E,Q,4,3,6,7,Q,E,"[1, 0]"
15,Generous,3,act_claude2,act_gpt35,E,Q,4,3,10,10,Q,E,"[0, 1]"
15,Generous,4,act_claude2,act_gpt35,E,Q,4,3,14,13,Q,E,"[1, 0]"
15,Generous,5,act_claude2,act_gpt35,E,Q,4,3,18,16,Q,E,"[0, 1]"
15,Generous,6,act_claude2,act_gpt35,E,Q,4,3,22,19,Q,E,"[1, 0]"
