round,player1,player2,answer1,answer2,points1,points2,total1,total2
1,act_gpt4,act_gpt4,J,F,0,0,0,0
2,act_gpt4,act_gpt4,J,F,0,0,0,0
3,act_gpt4,act_gpt4,F,F,7,10,7,10
4,act_gpt4,act_gpt4,J,F,0,0,7,10
5,act_gpt4,act_gpt4,F,F,7,10,14,20
6,act_gpt4,act_gpt4,J,F,0,0,14,20
7,act_gpt4,act_gpt4,F,F,7,10,21,30
8,act_gpt4,act_gpt4,F,F,7,10,28,40
9,act_gpt4,act_gpt4,F,F,7,10,35,50
10,act_gpt4,act_gpt4,F,F,7,10,42,60
1,act_gpt4,act_gpt35,J,J,10,7,10,7
2,act_gpt4,act_gpt35,J,F,0,0,10,7
3,act_gpt4,act_gpt35,J,F,0,0,10,7
4,act_gpt4,act_gpt35,F,F,7,10,17,17
5,act_gpt4,act_gpt35,J,F,0,0,17,17
6,act_gpt4,act_gpt35,J,F,0,0,17,17
7,act_gpt4,act_gpt35,F,F,7,10,24,27
8,act_gpt4,act_gpt35,J,F,0,0,24,27
9,act_gpt4,act_gpt35,F,F,7,10,31,37
10,act_gpt4,act_gpt35,J,F,0,0,31,37
1,act_gpt4,act_gpt3,J,J,10,7,10,7
2,act_gpt4,act_gpt3,J,J,10,7,20,14
3,act_gpt4,act_gpt3,J,J,10,7,30,21
4,act_gpt4,act_gpt3,J,J,10,7,40,28
5,act_gpt4,act_gpt3,J,J,10,7,50,35
6,act_gpt4,act_gpt3,J,J,10,7,60,42
7,act_gpt4,act_gpt3,J,J,10,7,70,49
8,act_gpt4,act_gpt3,J,J,10,7,80,56
9,act_gpt4,act_gpt3,J,J,10,7,90,63
10,act_gpt4,act_gpt3,J,J,10,7,100,70
1,act_gpt4,act_j,J,J,10,7,10,7
2,act_gpt4,act_j,J,J,10,7,20,14
3,act_gpt4,act_j,J,J,10,7,30,21
4,act_gpt4,act_j,J,J,10,7,40,28
5,act_gpt4,act_j,J,J,10,7,50,35
