round,payoff,player1,player2,answer1,answer2,points1,points2,total1,total2
1,1,GPT-4,Alternate,J,J,10,7,10,7
2,1,GPT-4,Alternate,J,F,0,0,10,7
3,1,GPT-4,Alternate,J,J,10,7,20,14
4,1,GPT-4,Alternate,J,F,0,0,20,14
5,1,GPT-4,Alternate,J,J,10,7,30,21
6,1,GPT-4,Alternate,J,F,0,0,30,21
7,1,GPT-4,Alternate,J,J,10,7,40,28
8,1,GPT-4,Alternate,J,F,0,0,40,28
9,1,GPT-4,Alternate,J,J,10,7,50,35
10,1,GPT-4,Alternate,J,F,0,0,50,35
1,2,GPT-4,Alternate,J,J,9,8,9,8
2,2,GPT-4,Alternate,J,F,0,0,9,8
3,2,GPT-4,Alternate,J,J,9,8,18,16
4,2,GPT-4,Alternate,J,F,0,0,18,16
5,2,GPT-4,Alternate,J,J,9,8,27,24
6,2,GPT-4,Alternate,J,F,0,0,27,24
7,2,GPT-4,Alternate,J,J,9,8,36,32
8,2,GPT-4,Alternate,J,F,0,0,36,32
9,2,GPT-4,Alternate,J,J,9,8,45,40
10,2,GPT-4,Alternate,J,F,0,0,45,40
1,3,GPT-4,Alternate,J,J,8,8,8,8
2,3,GPT-4,Alternate,J,F,0,0,8,8
3,3,GPT-4,Alternate,J,J,8,8,16,16
4,3,GPT-4,Alternate,J,F,0,0,16,16
5,3,GPT-4,Alternate,J,J,8,8,24,24
6,3,GPT-4,Alternate,J,F,0,0,24,24
7,3,GPT-4,Alternate,J,J,8,8,32,32
8,3,GPT-4,Alternate,J,F,0,0,32,32
9,3,GPT-4,Alternate,J,J,8,8,40,40
10,3,GPT-4,Alternate,J,F,0,0,40,40
1,4,GPT-4,Alternate,F,J,0,0,0,0
2,4,GPT-4,Alternate,F,F,9,8,9,8
3,4,GPT-4,Alternate,F,J,0,0,9,8
4,4,GPT-4,Alternate,F,F,9,8,18,16
5,4,GPT-4,Alternate,F,J,0,0,18,16
6,4,GPT-4,Alternate,F,F,9,8,27,24
7,4,GPT-4,Alternate,F,J,0,0,27,24
8,4,GPT-4,Alternate,F,F,9,8,36,32
9,4,GPT-4,Alternate,F,J,0,0,36,32
10,4,GPT-4,Alternate,F,F,9,8,45,40
1,5,GPT-4,Alternate,F,J,0,0,0,0
2,5,GPT-4,Alternate,F,F,10,7,10,7
3,5,GPT-4,Alternate,F,J,0,0,10,7
4,5,GPT-4,Alternate,F,F,10,7,20,14
5,5,GPT-4,Alternate,F,J,0,0,20,14
6,5,GPT-4,Alternate,F,F,10,7,30,21
7,5,GPT-4,Alternate,F,J,0,0,30,21
8,5,GPT-4,Alternate,F,F,10,7,40,28
9,5,GPT-4,Alternate,F,J,0,0,40,28
10,5,GPT-4,Alternate,F,F,10,7,50,35
