round,player1,player2,answer1,answer2,points1,points2,total1,total2
1,act_gpt4,act_false_defector,F,F,5,5,5,5
2,act_gpt4,act_false_defector,F,J,10,0,15,5
3,act_gpt4,act_false_defector,F,J,10,0,25,5
4,act_gpt4,act_false_defector,F,J,10,0,35,5
5,act_gpt4,act_false_defector,F,J,10,0,45,5
6,act_gpt4,act_false_defector,F,J,10,0,55,5
7,act_gpt4,act_false_defector,F,J,10,0,65,5
8,act_gpt4,act_false_defector,F,J,10,0,75,5
9,act_gpt4,act_false_defector,F,J,10,0,85,5
10,act_gpt4,act_false_defector,F,J,10,0,95,5
11,act_gpt4,act_false_defector,F,J,10,0,105,5
12,act_gpt4,act_false_defector,F,J,10,0,115,5
13,act_gpt4,act_false_defector,F,J,10,0,125,5
14,act_gpt4,act_false_defector,F,J,10,0,135,5
15,act_gpt4,act_false_defector,F,J,10,0,145,5
16,act_gpt4,act_false_defector,F,J,10,0,155,5
17,act_gpt4,act_false_defector,F,J,10,0,165,5
18,act_gpt4,act_false_defector,F,J,10,0,175,5
19,act_gpt4,act_false_defector,F,J,10,0,185,5
20,act_gpt4,act_false_defector,F,J,10,0,195,5
1,act_gpt4,act_grim_trigger,F,J,10,0,10,0
2,act_gpt4,act_grim_trigger,F,F,5,5,15,5
3,act_gpt4,act_grim_trigger,F,F,5,5,20,10
4,act_gpt4,act_grim_trigger,F,F,5,5,25,15
5,act_gpt4,act_grim_trigger,F,F,5,5,30,20
6,act_gpt4,act_grim_trigger,F,F,5,5,35,25
7,act_gpt4,act_grim_trigger,F,F,5,5,40,30
8,act_gpt4,act_grim_trigger,F,F,5,5,45,35
9,act_gpt4,act_grim_trigger,F,F,5,5,50,40
10,act_gpt4,act_grim_trigger,F,F,5,5,55,45
11,act_gpt4,act_grim_trigger,F,F,5,5,60,50
12,act_gpt4,act_grim_trigger,F,F,5,5,65,55
13,act_gpt4,act_grim_trigger,F,F,5,5,70,60
14,act_gpt4,act_grim_trigger,F,F,5,5,75,65
15,act_gpt4,act_grim_trigger,F,F,5,5,80,70
16,act_gpt4,act_grim_trigger,F,F,5,5,85,75
17,act_gpt4,act_grim_trigger,F,F,5,5,90,80
18,act_gpt4,act_grim_trigger,F,F,5,5,95,85
19,act_gpt4,act_grim_trigger,F,F,5,5,100,90
20,act_gpt4,act_grim_trigger,F,F,5,5,105,95
1,act_gpt4,act_tft,F,J,10,0,10,0
2,act_gpt4,act_tft,F,F,5,5,15,5
3,act_gpt4,act_tft,F,F,5,5,20,10
4,act_gpt4,act_tft,F,F,5,5,25,15
5,act_gpt4,act_tft,F,F,5,5,30,20
6,act_gpt4,act_tft,F,F,5,5,35,25
7,act_gpt4,act_tft,F,F,5,5,40,30
8,act_gpt4,act_tft,F,F,5,5,45,35
9,act_gpt4,act_tft,F,F,5,5,50,40
10,act_gpt4,act_tft,F,F,5,5,55,45
11,act_gpt4,act_tft,F,F,5,5,60,50
12,act_gpt4,act_tft,F,F,5,5,65,55
13,act_gpt4,act_tft,F,F,5,5,70,60
14,act_gpt4,act_tft,F,F,5,5,75,65
15,act_gpt4,act_tft,F,F,5,5,80,70
16,act_gpt4,act_tft,F,F,5,5,85,75
17,act_gpt4,act_tft,F,F,5,5,90,80
18,act_gpt4,act_tft,F,F,5,5,95,85
19,act_gpt4,act_tft,F,F,5,5,100,90
20,act_gpt4,act_tft,F,F,5,5,105,95
1,act_gpt4,act_tftt,F,J,10,0,10,0
2,act_gpt4,act_tftt,F,J,10,0,20,0
3,act_gpt4,act_tftt,F,F,5,5,25,5
4,act_gpt4,act_tftt,F,F,5,5,30,10
5,act_gpt4,act_tftt,F,F,5,5,35,15
6,act_gpt4,act_tftt,F,F,5,5,40,20
7,act_gpt4,act_tftt,F,F,5,5,45,25
8,act_gpt4,act_tftt,F,F,5,5,50,30
9,act_gpt4,act_tftt,F,F,5,5,55,35
10,act_gpt4,act_tftt,F,F,5,5,60,40
11,act_gpt4,act_tftt,F,F,5,5,65,45
12,act_gpt4,act_tftt,F,F,5,5,70,50
13,act_gpt4,act_tftt,F,F,5,5,75,55
14,act_gpt4,act_tftt,F,F,5,5,80,60
15,act_gpt4,act_tftt,F,F,5,5,85,65
16,act_gpt4,act_tftt,F,F,5,5,90,70
17,act_gpt4,act_tftt,F,F,5,5,95,75
18,act_gpt4,act_tftt,F,F,5,5,100,80
19,act_gpt4,act_tftt,F,F,5,5,105,85
20,act_gpt4,act_tftt,F,F,5,5,110,90
1,act_gpt4,act_stft,F,F,5,5,5,5
2,act_gpt4,act_stft,F,F,5,5,10,10
3,act_gpt4,act_stft,F,F,5,5,15,15
4,act_gpt4,act_stft,F,F,5,5,20,20
5,act_gpt4,act_stft,F,F,5,5,25,25
6,act_gpt4,act_stft,F,F,5,5,30,30
7,act_gpt4,act_stft,F,F,5,5,35,35
8,act_gpt4,act_stft,F,F,5,5,40,40
9,act_gpt4,act_stft,F,F,5,5,45,45
10,act_gpt4,act_stft,F,F,5,5,50,50
11,act_gpt4,act_stft,F,F,5,5,55,55
12,act_gpt4,act_stft,F,F,5,5,60,60
13,act_gpt4,act_stft,F,F,5,5,65,65
14,act_gpt4,act_stft,F,F,5,5,70,70
15,act_gpt4,act_stft,F,F,5,5,75,75
16,act_gpt4,act_stft,F,F,5,5,80,80
17,act_gpt4,act_stft,F,F,5,5,85,85
18,act_gpt4,act_stft,F,F,5,5,90,90
19,act_gpt4,act_stft,F,F,5,5,95,95
20,act_gpt4,act_stft,F,F,5,5,100,100
1,act_gpt4,act_rtft,F,F,5,5,5,5
2,act_gpt4,act_rtft,F,J,10,0,15,5
3,act_gpt4,act_rtft,F,J,10,0,25,5
4,act_gpt4,act_rtft,F,J,10,0,35,5
5,act_gpt4,act_rtft,F,J,10,0,45,5
6,act_gpt4,act_rtft,F,J,10,0,55,5
7,act_gpt4,act_rtft,F,J,10,0,65,5
8,act_gpt4,act_rtft,F,J,10,0,75,5
9,act_gpt4,act_rtft,F,J,10,0,85,5
10,act_gpt4,act_rtft,F,J,10,0,95,5
11,act_gpt4,act_rtft,F,J,10,0,105,5
12,act_gpt4,act_rtft,F,J,10,0,115,5
13,act_gpt4,act_rtft,F,J,10,0,125,5
14,act_gpt4,act_rtft,F,J,10,0,135,5
15,act_gpt4,act_rtft,F,J,10,0,145,5
16,act_gpt4,act_rtft,F,J,10,0,155,5
17,act_gpt4,act_rtft,F,J,10,0,165,5
18,act_gpt4,act_rtft,F,J,10,0,175,5
19,act_gpt4,act_rtft,F,J,10,0,185,5
20,act_gpt4,act_rtft,F,J,10,0,195,5
1,act_gpt4,act_htft,F,F,5,5,5,5
2,act_gpt4,act_htft,F,F,5,5,10,10
3,act_gpt4,act_htft,F,F,5,5,15,15
4,act_gpt4,act_htft,F,F,5,5,20,20
5,act_gpt4,act_htft,F,F,5,5,25,25
6,act_gpt4,act_htft,F,F,5,5,30,30
7,act_gpt4,act_htft,F,F,5,5,35,35
8,act_gpt4,act_htft,F,F,5,5,40,40
9,act_gpt4,act_htft,F,F,5,5,45,45
10,act_gpt4,act_htft,F,F,5,5,50,50
11,act_gpt4,act_htft,F,F,5,5,55,55
12,act_gpt4,act_htft,F,F,5,5,60,60
13,act_gpt4,act_htft,F,F,5,5,65,65
14,act_gpt4,act_htft,F,F,5,5,70,70
15,act_gpt4,act_htft,F,F,5,5,75,75
16,act_gpt4,act_htft,F,F,5,5,80,80
17,act_gpt4,act_htft,F,F,5,5,85,85
18,act_gpt4,act_htft,F,F,5,5,90,90
19,act_gpt4,act_htft,F,F,5,5,95,95
20,act_gpt4,act_htft,F,F,5,5,100,100
1,act_gpt4,act_np10,F,J,10,0,10,0
2,act_gpt4,act_np10,F,F,5,5,15,5
3,act_gpt4,act_np10,F,F,5,5,20,10
4,act_gpt4,act_np10,F,F,5,5,25,15
5,act_gpt4,act_np10,F,F,5,5,30,20
6,act_gpt4,act_np10,F,F,5,5,35,25
7,act_gpt4,act_np10,F,F,5,5,40,30
8,act_gpt4,act_np10,F,F,5,5,45,35
9,act_gpt4,act_np10,F,F,5,5,50,40
10,act_gpt4,act_np10,F,F,5,5,55,45
11,act_gpt4,act_np10,F,F,5,5,60,50
12,act_gpt4,act_np10,F,F,5,5,65,55
13,act_gpt4,act_np10,F,F,5,5,70,60
14,act_gpt4,act_np10,F,F,5,5,75,65
15,act_gpt4,act_np10,F,F,5,5,80,70
16,act_gpt4,act_np10,F,F,5,5,85,75
17,act_gpt4,act_np10,F,F,5,5,90,80
18,act_gpt4,act_np10,F,F,5,5,95,85
19,act_gpt4,act_np10,F,F,5,5,100,90
20,act_gpt4,act_np10,F,F,5,5,105,95
1,act_gpt4,act_np20,F,J,10,0,10,0
2,act_gpt4,act_np20,F,F,5,5,15,5
3,act_gpt4,act_np20,F,F,5,5,20,10
4,act_gpt4,act_np20,F,F,5,5,25,15
5,act_gpt4,act_np20,F,F,5,5,30,20
6,act_gpt4,act_np20,F,F,5,5,35,25
7,act_gpt4,act_np20,F,F,5,5,40,30
8,act_gpt4,act_np20,F,F,5,5,45,35
9,act_gpt4,act_np20,F,F,5,5,50,40
10,act_gpt4,act_np20,F,F,5,5,55,45
11,act_gpt4,act_np20,F,F,5,5,60,50
12,act_gpt4,act_np20,F,F,5,5,65,55
13,act_gpt4,act_np20,F,F,5,5,70,60
14,act_gpt4,act_np20,F,F,5,5,75,65
15,act_gpt4,act_np20,F,F,5,5,80,70
16,act_gpt4,act_np20,F,F,5,5,85,75
17,act_gpt4,act_np20,F,F,5,5,90,80
18,act_gpt4,act_np20,F,F,5,5,95,85
19,act_gpt4,act_np20,F,F,5,5,100,90
20,act_gpt4,act_np20,F,F,5,5,105,95
