round,player1,player2,answer1,answer2,points1,points2,total1,total2
1,act_gpt4,act_gpt4,J,J,8,8,8,8
2,act_gpt4,act_gpt4,J,J,8,8,16,16
3,act_gpt4,act_gpt4,J,J,8,8,24,24
4,act_gpt4,act_gpt4,J,J,8,8,32,32
5,act_gpt4,act_gpt4,J,J,8,8,40,40
6,act_gpt4,act_gpt4,J,J,8,8,48,48
7,act_gpt4,act_gpt4,J,J,8,8,56,56
8,act_gpt4,act_gpt4,J,J,8,8,64,64
9,act_gpt4,act_gpt4,J,J,8,8,72,72
10,act_gpt4,act_gpt4,J,J,8,8,80,80
1,act_gpt4,act_gpt35,J,J,8,8,8,8
2,act_gpt4,act_gpt35,J,F,0,10,8,18
3,act_gpt4,act_gpt35,F,F,5,5,13,23
4,act_gpt4,act_gpt35,F,J,10,0,23,23
5,act_gpt4,act_gpt35,F,J,10,0,33,23
6,act_gpt4,act_gpt35,F,J,10,0,43,23
7,act_gpt4,act_gpt35,F,J,10,0,53,23
8,act_gpt4,act_gpt35,F,J,10,0,63,23
9,act_gpt4,act_gpt35,F,J,10,0,73,23
10,act_gpt4,act_gpt35,F,J,10,0,83,23
1,act_gpt4,act_gpt3,J,J,8,8,8,8
2,act_gpt4,act_gpt3,J,J,8,8,16,16
3,act_gpt4,act_gpt3,J,J,8,8,24,24
4,act_gpt4,act_gpt3,J,J,8,8,32,32
5,act_gpt4,act_gpt3,J,J,8,8,40,40
6,act_gpt4,act_gpt3,J,J,8,8,48,48
7,act_gpt4,act_gpt3,J,J,8,8,56,56
8,act_gpt4,act_gpt3,J,J,8,8,64,64
9,act_gpt4,act_gpt3,J,J,8,8,72,72
10,act_gpt4,act_gpt3,J,J,8,8,80,80
1,act_gpt4,act_j,J,J,8,8,8,8
2,act_gpt4,act_j,J,J,8,8,16,16
3,act_gpt4,act_j,J,J,8,8,24,24
4,act_gpt4,act_j,J,J,8,8,32,32
5,act_gpt4,act_j,J,J,8,8,40,40
6,act_gpt4,act_j,J,J,8,8,48,48
7,act_gpt4,act_j,J,J,8,8,56,56
8,act_gpt4,act_j,J,J,8,8,64,64
9,act_gpt4,act_j,J,J,8,8,72,72
10,act_gpt4,act_j,J,J,8,8,80,80
1,act_gpt4,act_f,J,F,0,10,0,10
2,act_gpt4,act_f,F,F,5,5,5,15
3,act_gpt4,act_f,F,F,5,5,10,20
4,act_gpt4,act_f,F,F,5,5,15,25
5,act_gpt4,act_f,F,F,5,5,20,30
6,act_gpt4,act_f,F,F,5,5,25,35
7,act_gpt4,act_f,F,F,5,5,30,40
8,act_gpt4,act_f,F,F,5,5,35,45
9,act_gpt4,act_f,F,F,5,5,40,50
10,act_gpt4,act_f,F,F,5,5,45,55
1,act_gpt4,act_defect_once,J,F,0,10,0,10
2,act_gpt4,act_defect_once,F,J,10,0,10,10
3,act_gpt4,act_defect_once,F,J,10,0,20,10
4,act_gpt4,act_defect_once,F,J,10,0,30,10
5,act_gpt4,act_defect_once,F,J,10,0,40,10
6,act_gpt4,act_defect_once,F,J,10,0,50,10
7,act_gpt4,act_defect_once,F,J,10,0,60,10
8,act_gpt4,act_defect_once,F,J,10,0,70,10
9,act_gpt4,act_defect_once,F,J,10,0,80,10
10,act_gpt4,act_defect_once,F,J,10,0,90,10
1,act_gpt35,act_gpt4,J,J,8,8,8,8
2,act_gpt35,act_gpt4,F,J,10,0,18,8
3,act_gpt35,act_gpt4,F,F,5,5,23,13
4,act_gpt35,act_gpt4,J,F,0,10,23,23
5,act_gpt35,act_gpt4,J,F,0,10,23,33
6,act_gpt35,act_gpt4,J,F,0,10,23,43
7,act_gpt35,act_gpt4,J,F,0,10,23,53
8,act_gpt35,act_gpt4,J,F,0,10,23,63
9,act_gpt35,act_gpt4,J,F,0,10,23,73
10,act_gpt35,act_gpt4,J,F,0,10,23,83
1,act_gpt35,act_gpt35,J,J,8,8,8,8
2,act_gpt35,act_gpt35,F,F,5,5,13,13
3,act_gpt35,act_gpt35,J,J,8,8,21,21
4,act_gpt35,act_gpt35,J,J,8,8,29,29
5,act_gpt35,act_gpt35,J,J,8,8,37,37
6,act_gpt35,act_gpt35,J,J,8,8,45,45
7,act_gpt35,act_gpt35,J,J,8,8,53,53
