round,player1,player2,answer1,answer2,points1,points2,total1,total2
1,act_gpt4,act_gpt4,J,J,8,8,8,8
2,act_gpt4,act_gpt4,J,J,8,8,16,16
3,act_gpt4,act_gpt4,J,J,8,8,24,24
4,act_gpt4,act_gpt4,J,J,8,8,32,32
5,act_gpt4,act_gpt4,J,J,8,8,40,40
6,act_gpt4,act_gpt4,J,J,8,8,48,48
7,act_gpt4,act_gpt4,J,J,8,8,56,56
8,act_gpt4,act_gpt4,J,J,8,8,64,64
9,act_gpt4,act_gpt4,J,J,8,8,72,72
10,act_gpt4,act_gpt4,J,J,8,8,80,80
11,act_gpt4,act_gpt4,J,J,8,8,88,88
12,act_gpt4,act_gpt4,J,J,8,8,96,96
13,act_gpt4,act_gpt4,J,J,8,8,104,104
14,act_gpt4,act_gpt4,J,J,8,8,112,112
15,act_gpt4,act_gpt4,J,J,8,8,120,120
16,act_gpt4,act_gpt4,J,J,8,8,128,128
17,act_gpt4,act_gpt4,J,J,8,8,136,136
18,act_gpt4,act_gpt4,J,J,8,8,144,144
19,act_gpt4,act_gpt4,J,J,8,8,152,152
20,act_gpt4,act_gpt4,J,J,8,8,160,160
1,act_gpt4,act_tft,J,J,8,8,8,8
2,act_gpt4,act_tft,J,J,8,8,16,16
3,act_gpt4,act_tft,J,J,8,8,24,24
4,act_gpt4,act_tft,J,J,8,8,32,32
5,act_gpt4,act_tft,J,J,8,8,40,40
6,act_gpt4,act_tft,J,J,8,8,48,48
7,act_gpt4,act_tft,J,J,8,8,56,56
8,act_gpt4,act_tft,J,J,8,8,64,64
9,act_gpt4,act_tft,J,J,8,8,72,72
10,act_gpt4,act_tft,J,J,8,8,80,80
11,act_gpt4,act_tft,J,J,8,8,88,88
12,act_gpt4,act_tft,J,J,8,8,96,96
13,act_gpt4,act_tft,J,J,8,8,104,104
14,act_gpt4,act_tft,J,J,8,8,112,112
15,act_gpt4,act_tft,J,J,8,8,120,120
16,act_gpt4,act_tft,J,J,8,8,128,128
17,act_gpt4,act_tft,J,J,8,8,136,136
18,act_gpt4,act_tft,J,J,8,8,144,144
19,act_gpt4,act_tft,J,J,8,8,152,152
20,act_gpt4,act_tft,J,J,8,8,160,160
1,act_gpt4,act_tftt,J,J,8,8,8,8
2,act_gpt4,act_tftt,J,J,8,8,16,16
3,act_gpt4,act_tftt,J,J,8,8,24,24
4,act_gpt4,act_tftt,J,J,8,8,32,32
5,act_gpt4,act_tftt,J,J,8,8,40,40
6,act_gpt4,act_tftt,J,J,8,8,48,48
7,act_gpt4,act_tftt,J,J,8,8,56,56
8,act_gpt4,act_tftt,J,J,8,8,64,64
9,act_gpt4,act_tftt,J,J,8,8,72,72
10,act_gpt4,act_tftt,J,J,8,8,80,80
11,act_gpt4,act_tftt,J,J,8,8,88,88
12,act_gpt4,act_tftt,J,J,8,8,96,96
13,act_gpt4,act_tftt,J,J,8,8,104,104
14,act_gpt4,act_tftt,J,J,8,8,112,112
15,act_gpt4,act_tftt,J,J,8,8,120,120
16,act_gpt4,act_tftt,J,J,8,8,128,128
17,act_gpt4,act_tftt,J,J,8,8,136,136
18,act_gpt4,act_tftt,J,J,8,8,144,144
19,act_gpt4,act_tftt,J,J,8,8,152,152
20,act_gpt4,act_tftt,J,J,8,8,160,160
1,act_gpt4,act_stft,J,F,0,10,0,10
2,act_gpt4,act_stft,F,J,10,0,10,10
3,act_gpt4,act_stft,J,F,0,10,10,20
4,act_gpt4,act_stft,F,J,10,0,20,20
5,act_gpt4,act_stft,J,F,0,10,20,30
6,act_gpt4,act_stft,F,J,10,0,30,30
7,act_gpt4,act_stft,J,F,0,10,30,40
8,act_gpt4,act_stft,F,J,10,0,40,40
9,act_gpt4,act_stft,J,F,0,10,40,50
10,act_gpt4,act_stft,F,J,10,0,50,50
11,act_gpt4,act_stft,J,F,0,10,50,60
12,act_gpt4,act_stft,F,J,10,0,60,60
13,act_gpt4,act_stft,J,F,0,10,60,70
14,act_gpt4,act_stft,F,J,10,0,70,70
15,act_gpt4,act_stft,J,F,0,10,70,80
16,act_gpt4,act_stft,F,J,10,0,80,80
17,act_gpt4,act_stft,J,F,0,10,80,90
18,act_gpt4,act_stft,F,J,10,0,90,90
