round,option1,option2,outcomes,player1,player2,answer1,answer2,points1,points2,total1,total2
1,J,F,points,GPT-4,Defect_once,J,F,0,10,0,10
2,F,J,points,GPT-4,Defect_once,F,J,10,0,10,10
3,J,F,points,GPT-4,Defect_once,J,J,8,8,18,18
4,J,F,points,GPT-4,Defect_once,F,J,10,0,28,18
5,J,F,points,GPT-4,Defect_once,F,J,10,0,38,18
6,J,F,points,GPT-4,Defect_once,F,J,10,0,48,18
7,J,F,points,GPT-4,Defect_once,F,J,10,0,58,18
8,J,F,points,GPT-4,Defect_once,F,J,10,0,68,18
9,J,F,points,GPT-4,Defect_once,F,J,10,0,78,18
10,F,J,points,GPT-4,Defect_once,F,J,10,0,88,18
1,J,F,dollars,GPT-4,Defect_once,J,F,0,10,0,10
2,F,J,dollars,GPT-4,Defect_once,F,J,10,0,10,10
3,J,F,dollars,GPT-4,Defect_once,J,J,8,8,18,18
4,F,J,dollars,GPT-4,Defect_once,F,J,10,0,28,18
5,F,J,dollars,GPT-4,Defect_once,F,J,10,0,38,18
6,F,J,dollars,GPT-4,Defect_once,F,J,10,0,48,18
7,J,F,dollars,GPT-4,Defect_once,F,J,10,0,58,18
8,J,F,dollars,GPT-4,Defect_once,F,J,10,0,68,18
9,F,J,dollars,GPT-4,Defect_once,F,J,10,0,78,18
10,F,J,dollars,GPT-4,Defect_once,F,J,10,0,88,18
1,J,F,coins,GPT-4,Defect_once,J,F,0,10,0,10
2,F,J,coins,GPT-4,Defect_once,F,J,10,0,10,10
3,F,J,coins,GPT-4,Defect_once,J,J,8,8,18,18
4,J,F,coins,GPT-4,Defect_once,F,J,10,0,28,18
5,F,J,coins,GPT-4,Defect_once,F,J,10,0,38,18
6,J,F,coins,GPT-4,Defect_once,F,J,10,0,48,18
7,J,F,coins,GPT-4,Defect_once,F,J,10,0,58,18
8,F,J,coins,GPT-4,Defect_once,F,J,10,0,68,18
9,F,J,coins,GPT-4,Defect_once,F,J,10,0,78,18
10,J,F,coins,GPT-4,Defect_once,F,J,10,0,88,18
1,X,Q,points,GPT-4,Defect_once,Q,X,0,10,0,10
2,Q,X,points,GPT-4,Defect_once,X,Q,10,0,10,10
3,X,Q,points,GPT-4,Defect_once,X,Q,10,0,20,10
4,Q,X,points,GPT-4,Defect_once,X,Q,10,0,30,10
5,X,Q,points,GPT-4,Defect_once,X,Q,10,0,40,10
6,X,Q,points,GPT-4,Defect_once,X,Q,10,0,50,10
7,X,Q,points,GPT-4,Defect_once,X,Q,10,0,60,10
8,X,Q,points,GPT-4,Defect_once,X,Q,10,0,70,10
9,Q,X,points,GPT-4,Defect_once,X,Q,10,0,80,10
10,X,Q,points,GPT-4,Defect_once,X,Q,10,0,90,10
1,X,Q,dollars,GPT-4,Defect_once,Q,X,0,10,0,10
2,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,10,10
3,Q,X,dollars,GPT-4,Defect_once,X,Q,10,0,20,10
4,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,30,10
5,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,40,10
6,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,50,10
7,Q,X,dollars,GPT-4,Defect_once,X,Q,10,0,60,10
8,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,70,10
9,X,Q,dollars,GPT-4,Defect_once,X,Q,10,0,80,10
10,Q,X,dollars,GPT-4,Defect_once,X,Q,10,0,90,10
1,X,Q,coins,GPT-4,Defect_once,Q,X,0,10,0,10
2,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,10,10
3,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,20,10
4,X,Q,coins,GPT-4,Defect_once,X,Q,10,0,30,10
5,X,Q,coins,GPT-4,Defect_once,X,Q,10,0,40,10
6,X,Q,coins,GPT-4,Defect_once,X,Q,10,0,50,10
7,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,60,10
8,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,70,10
9,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,80,10
10,Q,X,coins,GPT-4,Defect_once,X,Q,10,0,90,10
1,H,R,points,GPT-4,Defect_once,R,H,0,10,0,10
2,R,H,points,GPT-4,Defect_once,H,R,10,0,10,10
3,H,R,points,GPT-4,Defect_once,R,R,8,8,18,18
4,H,R,points,GPT-4,Defect_once,H,R,10,0,28,18
5,R,H,points,GPT-4,Defect_once,R,R,8,8,36,26
6,R,H,points,GPT-4,Defect_once,R,R,8,8,44,34
7,H,R,points,GPT-4,Defect_once,R,R,8,8,52,42
8,H,R,points,GPT-4,Defect_once,R,R,8,8,60,50
9,R,H,points,GPT-4,Defect_once,R,R,8,8,68,58
10,H,R,points,GPT-4,Defect_once,R,R,8,8,76,66
1,R,H,dollars,GPT-4,Defect_once,R,H,0,10,0,10
2,H,R,dollars,GPT-4,Defect_once,H,R,10,0,10,10
3,R,H,dollars,GPT-4,Defect_once,R,R,8,8,18,18
4,R,H,dollars,GPT-4,Defect_once,R,R,8,8,26,26
5,R,H,dollars,GPT-4,Defect_once,H,R,10,0,36,26
6,H,R,dollars,GPT-4,Defect_once,R,R,8,8,44,34
7,R,H,dollars,GPT-4,Defect_once,R,R,8,8,52,42
8,R,H,dollars,GPT-4,Defect_once,R,R,8,8,60,50
9,R,H,dollars,GPT-4,Defect_once,R,R,8,8,68,58
10,R,H,dollars,GPT-4,Defect_once,R,R,8,8,76,66
1,H,R,coins,GPT-4,Defect_once,R,H,0,10,0,10
2,R,H,coins,GPT-4,Defect_once,H,R,10,0,10,10
3,R,H,coins,GPT-4,Defect_once,R,R,8,8,18,18
4,H,R,coins,GPT-4,Defect_once,H,R,10,0,28,18
5,H,R,coins,GPT-4,Defect_once,H,R,10,0,38,18
6,H,R,coins,GPT-4,Defect_once,H,R,10,0,48,18
7,R,H,coins,GPT-4,Defect_once,H,R,10,0,58,18
8,R,H,coins,GPT-4,Defect_once,H,R,10,0,68,18
9,R,H,coins,GPT-4,Defect_once,H,R,10,0,78,18
10,H,R,coins,GPT-4,Defect_once,H,R,10,0,88,18
